"Year","depart","land","lat1","lon1","state.x","lat2","lon2","state.y"
1999,"PHX","OAK",33.434278,-112.011583,"Arizona",37.721278,-122.220722,"California"
2010,"IAH","ISP",29.984433,-95.341442,"Texas",40.79525,-73.100222,"New York"
2005,"JAX","DCA",30.494056,-81.687861,"Florida",38.852083,-77.037722,"District of Columbia"
2001,"DAL","PBI",32.847111,-96.851778,"Texas",26.683161,-80.095589,"Florida"
1998,"CLT","ONT",35.214,-80.943139,"North Carolina",34.056,-117.601194,"California"
2001,"IAH","BUR",29.984433,-95.341442,"Texas",34.200667,-118.358667,"California"
1996,"DFW","MAF",32.896828,-97.037997,"Texas",31.942528,-102.201914,"Texas"
2013,"GSP","ISP",34.895556,-82.218889,"South Carolina",40.79525,-73.100222,"New York"
2009,"SJC","DCA",37.3626,-121.929022,"California",38.852083,-77.037722,"District of Columbia"
2010,"DFW","SNA",32.896828,-97.037997,"Texas",33.675667,-117.868222,"California"
2011,"ABQ","SJC",35.0402222,-106.6091944,"New Mexico",37.3626,-121.929022,"California"
1994,"BOS","CAK",42.364347,-71.005181,"Massachusetts",40.9160833,-81.4421944,"Ohio"
2001,"MKE","BWI",42.947222,-87.896583,"Wisconsin",39.175361,-76.668333,"Maryland"
2000,"MIA","MCO",25.79325,-80.290556,"Florida",28.429394,-81.308994,"Florida"
2002,"HPN","ROC",41.066959,-73.707575,"New York",43.118866,-77.672389,"New York"
2002,"FLL","SWF",26.072583,-80.15275,"Florida",41.504094,-74.104839,"New York"
2013,"MDW","BWI",41.785972,-87.752417,"Illinois",39.175361,-76.668333,"Maryland"
2010,"CLE","JFK",41.411689,-81.849794,"Ohio",40.639751,-73.778925,"New York"
1997,"BUF","IAD",42.940525,-78.732167,"New York",38.944533,-77.455811,"Virginia"
1993,"MSP","ISP",44.881956,-93.221767,"Minnesota",40.79525,-73.100222,"New York"
2000,"MDW","SAT",41.785972,-87.752417,"Illinois",29.533694,-98.469778,"Texas"
2009,"PVD","FLL",41.732581,-71.420383,"Rhode Island",26.072583,-80.15275,"Florida"
2009,"AMA","DAL",35.219369,-101.705931,"Texas",32.847111,-96.851778,"Texas"
2004,"RNO","SFO",39.499108,-119.768108,"Nevada",37.618972,-122.374889,"California"
1997,"LAX","MCO",33.942536,-118.408075,"California",28.429394,-81.308994,"Florida"
2010,"MYR","LGA",33.67975,-78.928333,"South Carolina",40.777245,-73.872608,"New York"
1993,"GRR","LGA",42.880833,-85.522806,"Michigan",40.777245,-73.872608,"New York"
1999,"CAK","OAK",40.9160833,-81.4421944,"Ohio",37.721278,-122.220722,"California"
1998,"MHT","DTW",42.932556,-71.435667,"New Hampshire",42.212444,-83.353389,"Michigan"
2009,"LAX","STL",33.942536,-118.408075,"California",38.748697,-90.370028,"Missouri"
1993,"SWF","BWI",41.504094,-74.104839,"New York",39.175361,-76.668333,"Maryland"
2009,"SEA","IAD",47.449,-122.309306,"Washington",38.944533,-77.455811,"Virginia"
2005,"IND","IAD",39.717331,-86.294383,"Indiana",38.944533,-77.455811,"Virginia"
2011,"IAH","SLC",29.984433,-95.341442,"Texas",40.788389,-111.977772,"Utah"
1994,"DAL","IAH",32.847111,-96.851778,"Texas",29.984433,-95.341442,"Texas"
